 등록번호,상호,업종,주소,메뉴,영업시간,주차정보,제안수,댓글수
1334,또이스치킨찜닭 ,한식,대구광역시 남구 양지북길 100,"찜닭, 치킨",,,,
1335,최윤숙안동생고기뭉티기,한식,대구광역시 달서구 월곡로47길 28,생고기,,,,
1336,제주물회,한식,대구광역시 달서구 달서대로 28-1,물회,,,,
1337,조은터,한식,대구광역시 달서구 이곡동로 71,양념갈비,,,,
1338,깡촌돼지찌개,한식,대구광역시 달서구 이공공원로1길 106,돼지찌개,,,,
1339,제1능이버섯생국수,한식,대구광역시 달서구 장기로 51,능이백숙,,,,
1340,강원도집,한식,대구광역시 달성군 가창면 가창로176길 18,오리구이,,,,
1341,곤지곤지,한식,대구광역시 달성군 가창면 퇴계길 43-8,보리밥,,,,
1342,대성석쇠숯불구이,한식,대구광역시 달성군 논공읍 논공로 732,"닭숯불구이, 오리숯불구이",,,,
1343,손중헌원조논메기매운탕,한식,대구광역시 달성군 다사읍 부곡2길 7-9,매운탕,,,,
1344,계령식당,한식,대구광역시 달성군 옥포읍 옥포로 301,갈치정식,,,,
1345,하늘천따지,한식,대구광역시 달성군 옥포읍 옥포로 78,"오리숯불, 쭈꾸미볶음",,,,
1346,영남장어횟집,한식,대구광역시 달성군 현풍면 현풍로6길 5,장어양념구이,,,,
1347,현대식당,한식,대구광역시 달성군 현풍읍 현풍로8길 5-2,소구레국밥,,,,
1348,현풍닭칼국수,한식,대구광역시 달성군 현풍읍 현풍중앙로 50,닭칼국수,,,,
1349,서순자손수제비,한식,대구광역시 달성군 화원읍 비슬로516길 54,"수제비, 칼국수",,,,
1350,성동식당,한식,대구광역시 동구 동북로79길 39,곱창전골,,,,
1351,우미관,한식,대구광역시 동구 송라로14길 83,고추장불고기,,,,
1352,효목김밥,한식,대구광역시 동구 아양로 50길 10,김밥,,,,
1353,만남의광장 ,한식,대구광역시 동구 아양로7길 12,"양념똥집, 찜닭 ",,,,
1354,원조할매뚜레박어탕국수 본점,한식,대구광역시 동구 파계로 479-8,"어탕수제비, 논메기매운탕 ",,,,
1355,삼거리순두부식당,한식,대구광역시 동구 팔공산로 1664,순두부찌개,,,,
1356,산골기사식당 ,한식,대구광역시 동구 팔공산로 1666,순두부송이찌개 ,,,,
1357,만나식당,한식,대구광역시 동구 효동로6길 70,코다리찜,,,,
1358,참우양곱창,한식,대구광역시 북구 구암로41길 10,양곱창,,,,
1359,3바다낙지해물,한식,대구광역시 북구 구암로60길 58,해계탕(토종닭),,,,
1360,민지네산오징어,한식,대구광역시 북구 대천로 35,회,,,,
1361,더하오,일식,대구광역시 북구 동암로12길 24,야끼우동,,,,
1362,이가네더덕밥,한식,대구광역시 북구 이곡길 35-41,더덕구이,,,,
1363,소문난부자돼지국밥 ,한식,대구광역시 북구 칠곡중앙대로 606-1,"순대국밥, 수육 ",,,,
1364,벽강물회식당,한식,대구광역시 북구 침산남로 62,"물회, 모둠회 ",,,,
1365,일월산,한식,대구광역시 북구 침산로 163,"돼지갈비, 김치전골",,,,
1366,남천닭갈비(침산점) ,한식,대구광역시 북구 침산로21길 23,닭갈비,,,,
1367,손복자부산할매낙지 ,한식,대구광역시 서구 달구벌대로 1789,낙지요리 ,,,,
1368,제비원,한식,대구광역시 서구 달서천로87길 4,가오리찜,,,,
1369,리안,중식,대구광역시 수성구 교학로4길 48,탕수육,,,,
1370,마루막창,한식,대구광역시 수성구 수성못2길 5,막창,,,,
1371,아리조나 막창,한식,대구광역시 수성구 용학로25길 45,막창,,,,
1372,부산해물철판구이,한식,대구광역시 중구 동성로 4-6,"해물철판구이, 물회냉면 ",,,,
1373,영생덕 ,중식,대구광역시 중구 종로 39,"군만두, 탕수육 ",,,,
